POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
6-DEV-18PA-RJS*,"-23:13:31,610","-40:21:58,523","-23,22544722","-40,36625639",SIRGAS2000,5185, 
1-BRSA-1007-RJS*,"-23:26:13,472","-40:43:37,023","-23,43707556","-40,72695083",SIRGAS2000,5600, 
6-DEV-18P-RJS*,"-23:13:31,610","-40:21:58,523","-23,22544722","-40,36625639",SIRGAS2000,5600, 
1-BP-7-RJS*,"-23:06:09,622","-40:00:41,295","-23,10267278","-40,01147083",SIRGAS2000,6925, 
3-BP-11-RJS*,"-23:01:42,692","-40:03:49,470","-23,02852556","-40,06374167",SIRGAS2000,6525, 
1-DEV-17-RJS*,"-23:13:31,610","-40:21:58,523","-23,22544722","-40,36625639",SIRGAS2000,5000, 
