POCO;Recebidos;Geoquímica de rocha;Geoquímica de fluido;Dados de rocha e fluido;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
1-CAB-1-BA;x;;;;2.024E+11;;1CAB 0001  BA;BA;Recôncavo;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;DEVOLVIDO;20/04/1969 00:00;30/06/1969 00:00;30/06/1969 00:00;Público;-12:03:30,258;-38:11:40,470;-12.058405;-38.194575;SIRGAS2000;Definitiva;Vertical;;3165;;MR;168.5;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-64;SONDA CONVENCIONAL 64;;04/12/2022 05:00
1-CAJ-1-BA;x;;;;2.024E+11;;1CAJ 0001  BA;BA;Recôncavo;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;14/03/1969 00:00;03/04/1969 00:00;03/04/1969 00:00;Público;-12:14:34,320;-38:20:02,450;-12.24286667;-38.33401389;SIRGAS2000;Definitiva;Vertical;;2295;;MR;160.1;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-64;SONDA CONVENCIONAL 64;;04/12/2022 05:00
1-CBI-1-BA;x;;x;x;2.024E+11;;1CBI 0001  BA;BA;Recôncavo;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;30/03/1982 00:00;18/06/1982 00:00;18/06/1982 00:00;Público;-12:11:18,083;-38:02:55,354;-12.18835639;-38.04870944;SIRGAS2000;Definitiva;Vertical;;2813;;MR;98;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;UN-3                          ;;;04/12/2022 05:00
1-CCA-1-BA;x;;;;2.024E+11;;1CCA 0001  BA;BA;Recôncavo;Brasil;;;T;N;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO;ARRASADO;12/10/1972 00:00;05/12/1972 00:00;05/12/1972 00:00;Público;-12:40:54,362;-38:18:22,615;-12.68176722;-38.30628194;SIRGAS2000;Definitiva;Vertical;;2957;;MR;52.2;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-29;SONDA CONVENCIONAL 29;;04/12/2022 05:00
1-CDS-1-BA;x;;;;2.024E+11;;1CDS 0001  BA;BA;Recôncavo;Brasil;;;T;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;DEVOLVIDO;25/01/1981 00:00;31/05/1981 00:00;31/05/1981 00:00;Público;-11:59:07,415;-37:56:35,013;-11.98539306;-37.94305917;SIRGAS2000;Definitiva;Vertical;;3540;;MR;136;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-80;SONDA CONVENCIONAL 80;;04/12/2022 05:00
1-CER-1-BA;x;;;;2.024E+11;Petrobras;1CER 0001  BA;BA;Recôncavo;CER;CER  ;CIDADE DE ENTRE RIOS;T;N;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;30/09/1981 00:00;04/11/1981 00:00;04/11/1981 00:00;Público;-11:56:14,543;-38:04:19,580;-11.93737306;-38.07210556;SIRGAS2000;Definitiva;Vertical;;1646;;MR;118;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-27;SONDA CONVENCIONAL 27;;04/12/2022 05:00
1-DA-1-BA;x;;;;2.024E+11;Petrobras;1DA  0001  BA;BA;Recôncavo;DA;DA   ;DIAS D'ÁVILA;T;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO E GÁS NATURAL;ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO;16/02/1967 00:00;01/12/1967 00:00;01/12/1967 00:00;Público;-12:37:20,023;-38:21:34,548;-12.62222861;-38.35959667;SIRGAS2000;Definitiva;Vertical;;5032.6;;MR;53.7;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-68;SONDA CONVENCIONAL 68;;04/12/2022 05:00
1-ESS-33-ES;x;;;;3.4271E+11;;1ESS 0033  ES;ES;Espírito Santo;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;12/02/1979 00:00;25/03/1979 00:00;25/03/1979 00:00;Público;-18:22:42,746;-39:35:17,591;-18.37854056;-39.58821972;SIRGAS2000;Definitiva;Vertical;;2529;;MR;24;;16;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA11                          ;;;04/12/2022 05:00
1-ESS-49-ESS;x;;;;3.42711E+11;Petrobras;1ESS 0049  ES;ES;Espírito Santo;BE-49;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;21/07/1981 00:00;25/12/1981 00:00;25/12/1981 00:00;Público;-19:13:32,721;-39:25:54,330;-19.22575583;-39.43175833;SIRGAS2000;Definitiva;Vertical;;5407;;MR;28.4;0;25.6;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SAVI                          ;;;04/12/2022 05:00
1-ESS-51-ES;x;;;;3.4271E+11;;1ESS 0051  ES;ES;Espírito Santo;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;17/07/1981 00:00;02/10/1981 00:00;02/10/1981 00:00;Público;-19:13:35,235;-39:35:17,266;-19.22645417;-39.58812944;SIRGAS2000;Definitiva;Vertical;;5000;;MR;27;;19;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA11                          ;;;04/12/2022 05:00
1-FAP-1-BA;x;;;;2.02401E+11;3R Rio Ventura S.A;1FAP 0001  BA;BA;Recôncavo;FAP;FAP  ;FAZENDA ALTO DAS PEDRAS;T;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO E GÁS NATURAL;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;17/02/1997 00:00;26/03/1997 00:00;26/03/1997 00:00;Público;-12:31:21,265;-38:24:58,049;-12.52257361;-38.41612472;SIRGAS2000;Definitiva;Vertical;;2896;;MR;150.19999;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-105;SONDA CONVENCIONAL 105;;04/12/2022 05:00
